Date,India New Cases,Mumbai New Cases,Only India New Cases
30-Jan,1,0,1
31-Jan,0,0,0
1-Feb,0,0,0
2-Feb,1,0,1
3-Feb,1,0,1
4-Feb,0,0,0
5-Feb,0,0,0
6-Feb,0,0,0
7-Feb,0,0,0
8-Feb,0,0,0
9-Feb,0,0,0
10-Feb,0,0,0
11-Feb,0,0,0
12-Feb,0,0,0
13-Feb,0,0,0
14-Feb,0,0,0
15-Feb,0,0,0
16-Feb,0,0,0
17-Feb,0,0,0
18-Feb,0,0,0
19-Feb,0,0,0
20-Feb,0,0,0
21-Feb,0,0,0
22-Feb,0,0,0
23-Feb,0,0,0
24-Feb,0,0,0
25-Feb,0,0,0
26-Feb,0,0,0
27-Feb,0,0,0
28-Feb,0,0,0
29-Feb,0,0,0
1-Mar,0,0,0
2-Mar,2,0,2
3-Mar,1,0,1
4-Mar,22,0,22
5-Mar,2,0,2
6-Mar,1,0,1
7-Mar,3,0,3
8-Mar,5,0,5
9-Mar,9,0,9
10-Mar,15,0,15
11-Mar,7,2,5
12-Mar,12,1,11
13-Mar,9,1,8
14-Mar,16,1,15
15-Mar,5,1,4
16-Mar,15,1,14
17-Mar,19,2,17
18-Mar,25,1,24
19-Mar,27,3,24
20-Mar,60,10,50
21-Mar,76,9,67
22-Mar,69,6,63
23-Mar,94,10,84
24-Mar,74,16,58
25-Mar,86,13,73
26-Mar,73,15,58
27-Mar,153,33,120
28-Mar,141,15,126
29-Mar,115,25,90
30-Mar,190,17,173
31-Mar,306,36,270
1-Apr,424,17,407
2-Apr,486,43,443
3-Apr,560,51,509
4-Apr,579,103,476
5-Apr,605,57,548
6-Apr,489,100,389
7-Apr,573,106,467
8-Apr,565,79,486
9-Apr,813,218,595
10-Apr,871,189,682
11-Apr,854,217,637
12-Apr,758,150,608
13-Apr,1243,204,1039
14-Apr,1035,183,852
15-Apr,882,107,775
16-Apr,1062,77,985
17-Apr,920,87,833
18-Apr,1371,135,1236
19-Apr,1580,219,1361
20-Apr,1239,136,1103
21-Apr,1537,309,1228
22-Apr,1292,478,814
23-Apr,1667,357,1310
24-Apr,1408,281,1127
25-Apr,1835,107,1728
26-Apr,1607,288,1319
27-Apr,1568,393,1175
28-Apr,1902,475,1427
29-Apr,1705,417,1288
30-Apr,1801,751,1050
1-May,2396,547,1849
2-May,2564,441,2123
3-May,2952,510,2442
4-May,3656,635,3021
5-May,2971,769,2202
6-May,3602,692,2910
7-May,3344,700,2644
8-May,3339,722,2617
9-May,3175,875,2300
10-May,4311,791,3520
11-May,3592,426,3166
12-May,3562,800,2762
13-May,3726,998,2728
14-May,3991,933,3058
15-May,3808,884,2924
16-May,4794,1571,3223
17-May,5049,1185,3864
18-May,4628,1411,3217
19-May,6154,1372,4782
